element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
N,3,377.105,,377.103,,120,5.59e+07,B,,
N,3,,,377.136,,,8.28e+06,B,,
N,2,,,377.5606,,,6.61e+02,D,,
N,3,,,377.916,,,2.35e+06,B,,
N,3,,,378.903,,,2.40e+06,B,,
N,3,,,378.930,,,2.40e+06,B,,
N,3,,,379.297,,,1.03e+07,B,,
N,1,,,381.82679,,,8.95e+05,C+,,
N,1,,,382.20339,,,3.70e+06,C+,,
N,4,,,382.393,,,1.46e+07,B,,
N,2,,,382.9795,,,2.42e+07,B,,
N,1,,,383.04343,,,4.67e+06,C+,,
N,1,,,383.42244,,,1.89e+06,C+,,
N,2,383.837,,383.8374,,285,6.98e+07,B,,
N,2,,,384.1138,,,5.99e+04,C,,
N,2,,,384.2187,,,3.06e+07,B,,
N,2,,,384.2449,,,8.05e+04,C,,
N,2,,,384.7404,,,2.22e+07,B,,
N,2,,,384.7997,,,4.01e+05,C+,,
N,2,,,385.0017,,,3.71e+05,C+,,
N,2,,,385.5096,,,8.82e+07,B,,
N,2,,,385.5374,,,4.72e+05,C+,,
N,2,,,385.5586,,,1.33e+05,C,,
N,2,,,385.6062,,,3.71e+07,B,,
N,2,,,386.4318,,,8.23e+04,C,,
N,1,,,388.75717,,,2.09e+06,C,,
N,1,,,389.22051,,,2.50e+06,C,,
N,1,,,390.01845,,,4.14e+05,C,,
N,2,,,391.3892,,,2.42e+07,C+,,
N,2,,,391.5414,,,3.22e+07,C+,,
N,2,,,391.5572,,,1.79e+07,C+,,
N,2,391.900,,391.9001,,360,7.56e+07,B+,,
N,2,,,391.9648,,,1.34e+07,C+,,
N,2,,,392.4640,,,7.99e+06,C+,,
N,2,,,393.0428,,,8.84e+05,C+,,
N,3,,,393.450,,,7.49e+07,B,,
N,3,393.852,,393.851,,90,8.96e+07,B,,
N,3,,,394.288,,,1.49e+07,B,,
N,2,395.585,,395.5851,,450,1.21e+07,B+,,
N,2,,,397.7310,,,7.79e+03,B+,,
N,2,399.500,,399.4997,,1000,1.22e+08,A,,
N,3,,,399.650,,,1.57e+06,B,,
N,3,399.863,,399.863,,150,1.76e+08,C+,,
N,3,400.358,,400.358,,200,1.88e+08,C+,,
N,3,,,400.372,,,1.25e+07,C+,,
N,3,,,400.788,,,1.56e+05,B,,
N,1,,,401.11348,,,5.75e+05,C,,
N,3,,,401.300,,,1.39e+06,B,,
N,1,,,402.45635,,,1.14e+06,C,,
N,2,403.508,,,,360,,,,
N,2,404.131,,,,550,,,,
N,2,404.353,,,,360,,,,
N,2,,,404.6740,,,1.44e+03,C,,
N,4,405.776,,405.776,,150,6.62e+07,B,,
N,1,,,409.505,,,8.05e+04,C+,,
N,3,409.733,,409.736,,250,8.70e+07,B,,
N,2,,,409.8866,,,1.80e+04,C,,
N,1,409.994,,409.99432,,140,3.48e+06,C+,,
N,2,,,410.2903,,,2.68e+05,C,,
N,3,410.343,,410.339,,200,8.67e+07,B,,
N,2,,,410.6985,,,4.57e+05,C,,
N,1,,,410.790,,,1.23e+06,C+,,
N,2,,,410.8018,,,1.52e+06,C,,
N,2,,,410.9587,,,1.24e+02,D,,
N,1,410.995,,410.99487,,185,3.90e+06,C+,,
N,2,,,411.1039,,,1.37e+06,C,,
N,2,,,411.2070,,,1.85e+06,C,,
N,1,,,411.39741,,,6.62e+05,C+,,
N,2,,,411.4335,,,1.65e+05,B+,,
N,3,,,412.122,,,2.10e+06,B,,
N,3,,,412.280,,,4.08e+04,C+,,
N,3,,,412.280,,,6.79e+03,D,,
N,2,,,412.3125,,,4.37e+04,B+,,
N,2,,,412.4081,,,3.20e+07,C+,,
N,3,,,413.163,,,1.88e+07,B,,
N,2,,,413.3673,,,5.30e+07,C+,,
N,3,,,413.383,,,5.21e+06,B,,
N,3,,,413.491,,,3.37e+04,C+,,
N,3,,,413.607,,,1.08e+07,B,,
N,3,,,413.640,,,5.38e+07,B,,
N,1,,,413.76400,,,2.80e+05,C+,,
N,3,,,414.159,,,3.32e+07,B,,
N,3,,,414.180,,,4.29e+07,B,,
N,3,,,414.212,,,2.14e+07,B,,
N,1,,,414.34296,,,6.09e+05,C+,,
N,2,,,414.5774,,,7.36e+07,C+,,
N,3,,,414.613,,,5.17e+07,B,,
N,3,,,414.678,,,8.26e+07,B,,
N,1,,,415.14805,,,1.01e+06,C+,,
N,3,,,415.210,,,6.48e+07,B,,
N,3,,,415.393,,,5.14e+07,B,,
N,5,,,416.742,,,1.32e+07,B,,
N,5,,,416.791,,,1.32e+07,B,,
N,2,417.616,,,,285,,,,
N,3,419.576,,419.574,,120,9.37e+07,B,,
N,3,420.010,,420.007,,150,1.12e+08,B,,
N,3,,,421.577,,,1.85e+07,B,,
N,2,422.774,,422.7736,,285,1.08e+08,B,,
N,2,,,423.6356,,,1.93e+05,B,,
N,2,423.691,,,,285,,,,
N,2,423.705,,,,220,,,,
N,2,424.178,,,,450,,,,
N,1,,,424.987,,,2.59e+06,C,,
N,1,,,425.016,,,2.24e+05,C,,
N,1,,,426.400,,,2.26e+06,C,,
