element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ni,1,322.127,,,,100,,,,,,
Ni,7,,,322.15,,,4.7e+00,E,2,1,M1,
Ni,1,322.165,,322.16515,,150,1.6e+06,C,4,3,,
Ni,2,,,322.3149,,,3.5e+00,E,3/2,7/2,E2,
Ni,1,322.502,,322.50191,,210,9.3e+06,C,2,1,,
Ni,1,,,322.69834,,,2.3e+05,D,4,4,,
Ni,1,323.296,,323.29335,,1100,7.3e+06,C,4,5,,
Ni,1,323.465,,323.46478,,290,2.0e+06,C,2,3,,
Ni,1,,,323.57537,,,6.4e+04,C+,2,3,,
Ni,1,324.306,,324.30545,,600,4.8e+06,C,3,3,,
Ni,1,324.846,,324.84576,,100,4.7e+05,C,3,4,,
Ni,1,,,324.94346,,,4.1e+05,C+,2,1,,
Ni,1,325.074,,325.07430,,120,2.2e+06,C,2,2,,
Ni,1,327.112,,327.11137,,100,8.6e+05,C,2,2,,
Ni,18,,,327.46,,,1.1e-01,D,1/2,3/2,E2,
Ni,1,328.270,,328.26953,,120,6.0e+05,C,3,3,,
Ni,1,,,328.69448,,,4.7e+05,C,3,2,,
Ni,2,329.287,,,,400,,,,,,
Ni,2,329.760,,,,500,,,,,,
Ni,2,330.571,,,,400,,,,,,
Ni,1,,,331.02010,,,1.2e+05,C+,2,2,,
Ni,7,,,331.56,,,1.e-02,E,3,4,M1,
Ni,1,331.566,,331.56629,,660,5.3e+06,C+,2,3,,
Ni,1,332.026,,332.02587,,330,4.9e+06,C,3,2,,
Ni,1,332.231,,332.23096,,310,5.8e+06,C+,2,3,,
Ni,2,333.188,,,,2000,,,,,,
Ni,2,333.564,,,,400,,,,,,
Ni,1,,,333.70094,,,8.3e+03,D+,3,2,,
Ni,2,333.809,,,,500,,,,,,
Ni,11,333.85,,333.8+,,,,,3,3,M1,
Ni,7,,,334.42,,,2.e-04,E,4,5,M1,
Ni,2,334.884,,,,500,,,,,,
Ni,2,334.924,,,,500,,,,,,
Ni,1,,,335.10544,,,2.8e+03,D+,4,3,,
Ni,7,,,335.50,,,6.1e+00,E,1,0,M1,
Ni,2,335.868,,,,600,,,,,,
Ni,1,336.156,,336.15543,,330,4.8e+06,C,2,2,,
Ni,1,,,336.28039,,,2.1e+05,D+,1,2,,
Ni,2,336.345,,,,500,,,,,,
Ni,1,336.577,,336.57647,,330,5.4e+06,C+,2,3,,
Ni,1,336.617,,336.61660,,330,4.0e+06,D+,3,3,,
Ni,1,336.681,,,,65,,,,,,
Ni,1,336.789,,336.78859,,65,1.9e+05,D+,3,2,,
Ni,1,336.957,,336.95628,,2900,1.8e+07,C,4,3,,
Ni,1,337.199,,337.19875,,400,2.6e+06,C,3,4,,
Ni,1,337.422,,337.42174,,260,1.5e+06,C,3,3,,
Ni,1,337.464,,,,130,,,,,,
Ni,2,,,337.8155,,,4.1e+00,E,5/2,1/2,E2,
Ni,2,337.897,,,,500,,,,,,
Ni,1,338.057,,338.05695,,3300,1.3e+08,C+,2,1,,
Ni,5,,,338.071,0.003,,2.23e-01,C+,4,3,M1,
Ni,1,338.085,,338.08794,,240,3.8e+06,C,2,3,,
Ni,1,339.105,,339.10430,,1300,6.6e+06,C,4,4,,
Ni,1,339.299,,339.29833,,3300,2.4e+07,C+,3,3,,
Ni,2,340.105,,,,500,,,,,,
Ni,1,340.958,,340.95744,,130,3.7e+05,C,4,3,,
Ni,1,341.348,,341.34759,,330,3.8e+06,C,3,2,,
Ni,1,341.394,,341.39355,,330,2.2e+06,D+,2,2,,
Ni,7,,,341.43,,,5.e-02,E,4,4,M1,
Ni,1,341.476,,341.47641,,8200,5.5e+07,C,3,4,,
Ni,17,,,341.72,,,3.7e-02,E,0,2,E2,
Ni,1,,,342.07370,,,9.9e+04,D+,2,2,,
Ni,1,342.371,,342.37074,,1600,3.3e+07,C,1,1,,
Ni,5,,,343.261,0.004,,2.11e+00,C+,4,4,M1,
Ni,1,343.356,,343.35564,,2600,1.7e+07,C+,3,3,,
Ni,1,343.728,,343.72774,,990,4.4e+06,C,4,4,,
Ni,2,,,343.8877,,,5.7e-04,E,5/2,3/2,M1,
Ni,2,,,343.8877,,,5.5e+00,E,5/2,3/2,E2,
Ni,5,,,344.618,0.004,,1.36e-01,C+,3,2,M1,
Ni,1,344.626,,344.62588,,4800,4.4e+07,C+,2,2,,
Ni,1,345.289,,345.28887,,1300,9.8e+06,C+,2,3,,
Ni,1,345.847,,345.84596,,5000,6.1e+07,C+,1,2,,
Ni,1,346.165,,346.16521,,5000,2.7e+07,C+,3,4,,
Ni,1,346.750,,346.75006,,200,1.2e+06,C,3,2,,
Ni,1,346.949,,346.94850,,240,1.3e+06,C,2,3,,
Ni,1,347.254,,347.25423,,1600,1.2e+07,C+,2,3,,
Ni,1,348.377,,348.37766,,550,1.4e+07,C,2,1,,
Ni,5,,,348.557,0.004,,1.19e+00,C+,3,3,M1,
